Currency,ConversionRate
EUR,1.13
USD,1.38
XCD,3.57
XCD,3.57
AUD,1.77
BHD,0.51
BBD,2.65
BND,1.69
BGN,2.11
CAD,1.65
KYD,0.99
CLP,922.45
CNY,8.43
CRC,782.44
HRK,8.15
CZK,27.63
DKK,8.01
XCD,3.57
DOP,72.31
EUR,1.13
FJD,2.64
XCD,3.57
HKD,10.56
HUF,369.46
ISK,158.53
IDR,18172.80
ILS,4.31
JMD,191.78
JPY,147.40
JOD,0.93
KES,141.58
KRW,1435.74
KWD,0.41
MYR,5.41
MUR,52.88
MXN,26.25
XCD,3.57
NZD,1.83
NOK,11.25
OMR,0.52
PEN,4.86
PHP,62.12
PLN,4.82
QAR,4.92
RON,5.31
RUB,95.48
XCD,3.57
XCD,3.57
XCD,3.57
SAR,5.13
SGD,1.79
ZAR,18.29
SEK,11.26
CHF,1.23
TWD,36.55
THB,41.62
TRY,11.00
AED,4.97
USD,1.38